emotion,model1,model2,avg_overlap,std_overlap,min_overlap,max_overlap
gratitude,gpt2,pythia-160m,0.14719531,0.006736616,0.1363487,0.15780601
gratitude,gpt2,gpt-neo-125m,0.1366617,0.006272702,0.12863119,0.14850992
gratitude,pythia-160m,gpt-neo-125m,0.1380905,0.00967659,0.12003754,0.1554272
anger,gpt2,pythia-160m,0.1469562,0.013511737,0.13012269,0.18175948
anger,gpt2,gpt-neo-125m,0.1477158,0.0077386275,0.13467036,0.15793975
anger,pythia-160m,gpt-neo-125m,0.14113808,0.015671331,0.10854045,0.16129279
apology,gpt2,pythia-160m,0.15463918,0.008417159,0.13570273,0.1649975
apology,gpt2,gpt-neo-125m,0.15030979,0.011938134,0.13078947,0.16763493
apology,pythia-160m,gpt-neo-125m,0.13997887,0.0068084323,0.12775569,0.15470582
