emotion,layer,head,dot,cos
gratitude,6,0,9.039779663085938,0.08723241835832596
gratitude,6,1,2.6468698978424072,0.027865376323461533
gratitude,6,2,0.16549968719482422,0.0009043182944878936
gratitude,6,3,3.03279447555542,0.008195754140615463
gratitude,6,4,30.632930755615234,0.09069591760635376
gratitude,6,5,-50.160484313964844,-0.15384116768836975
gratitude,6,6,-19.620929718017578,-0.08819106221199036
gratitude,6,7,17.504566192626953,0.07564994692802429
gratitude,6,8,1.6674327850341797,0.013512139208614826
gratitude,6,9,-1.943672776222229,-0.019856616854667664
gratitude,6,10,-10.92410659790039,-0.09427664428949356
gratitude,6,11,7.386440277099609,0.09975555539131165
anger,6,0,-1.290395975112915,-0.025500010699033737
anger,6,1,1.9327881336212158,0.041669074445962906
anger,6,2,3.862719774246216,0.043222974985837936
anger,6,3,20.872480392456055,0.11550939828157425
anger,6,4,17.731761932373047,0.10750988125801086
anger,6,5,-17.63169288635254,-0.11073940247297287
anger,6,6,-16.088327407836914,-0.14808571338653564
anger,6,7,-0.9242550134658813,-0.008179870434105396
anger,6,8,9.762138366699219,0.1620011329650879
anger,6,9,-0.5029729008674622,-0.010522622615098953
anger,6,10,4.838199615478516,0.08550653606653214
anger,6,11,-0.7806586027145386,-0.02159038372337818
apology,6,0,2.541626214981079,0.04727816954255104
apology,6,1,3.5665624141693115,0.0723787471652031
apology,6,2,6.103751182556152,0.06429095566272736
apology,6,3,30.32404899597168,0.15796542167663574
apology,6,4,26.095199584960938,0.14893223345279694
apology,6,5,-29.669715881347656,-0.17540951073169708
apology,6,6,-18.363197326660156,-0.15910440683364868
apology,6,7,3.691470146179199,0.030752863734960556
apology,6,8,5.244481086730957,0.08192326128482819
apology,6,9,-0.17849832773208618,-0.0035151606425642967
apology,6,10,5.105648040771484,0.0849372074007988
apology,6,11,0.5364518165588379,0.013965663500130177
