profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,power
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.admiration,True,3,3,3,0.2307364158041309,0.0007849769899621,0.3987760365411946,6.34592131357692e-05,-0.2299514388141688,-0.5766181519258801,-0.6904381915810518,0.0004809797101188,-1.1544424507531073,1.6260772089556463,-0.9987319357020942,0.4231381185306159,1.0,0.4231907044827365,False,False,0.09508995364047784
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.amusement,True,3,3,3,0.0004251103625089,0.000949433830101,0.0002718796966723,0.0004750247235282,0.000524323467592,0.7313786079448625,2.4309265427291397e-05,0.001345672251773,0.0,1.4623860036532683,1.2667849085295002,0.3327852066798257,1.0,0.3327852066798257,False,False,0.12148699217718877
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.anger,True,3,3,3,0.0005329236737452,0.0008502743827799,0.0003175116165655,0.0003099094193361,0.0003173507090347,1.5522629024517365,0.0001390775723848,0.0005405071715358,0.0,2.960606252777816,2.688598213750739,0.1149680945297572,0.6898085671785433,0.2085208835357774,False,False,0.3321459462337481
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.annoyance,True,3,3,3,0.0019657583907246,0.0026611563904831,0.0016851177145698,0.00108650711779,0.0006953979997585,1.155724302884017,1.4451565220952034e-05,0.0011553512886166,0.0,7.796963144983894,2.00177321213724,0.1832623292581787,1.0,0.2748934938872682,False,False,0.2185774388453606
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.approval,True,3,3,3,0.0108517986179019,0.0027802000598361,0.0123296261450444,0.000613241072581,-0.0080715985580657,-0.6479148326881148,-0.0220297432970255,0.001919885748066,-1.551355415612114,0.0,-1.1222214091933032,0.3784000195082676,1.0,0.4056682063733305,False,False,0.10657073421544258
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.caring,True,3,3,3,0.0009263774263672,0.0008769761770963,0.0006112853188549,0.0002215131126771,-4.940124927088618e-05,-0.0676191755439886,-0.0008135444950312,0.0006422049482353,-1.1068060443898435,1.219430592140048,-0.1171198476081072,0.9174663077849788,1.0,0.9174663077849786,False,False,0.050635058924663155
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.confusion,True,3,3,3,0.3745514011631409,0.0947767384350299,0.516691584508088,0.0802638741000414,-0.2797746627281109,-0.4936330897827503,-0.934150192886591,0.0557005833834409,-1.0850722141028313,5.243250710480613,-0.8549975918009327,0.4826286434005912,1.0,0.5232085336015143,False,False,0.08325925028686568
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.curiosity,True,3,3,3,0.2049286694576343,0.6843686699867249,0.1852924558330852,0.0463846118215239,0.4794400005290906,2.0909747476670084,0.2715425193309784,0.7253675069659948,0.0,3.923479509256065,3.621674500302772,0.0684988080612882,0.4109928483677297,0.1889136025588156,False,False,0.49878691350584065
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.desire,True,3,3,3,0.0005857345143643,0.000798783012821,0.0003208392493208,0.0004903223718192,0.0002130484984566,0.3149164400947089,-0.0001925662509165,0.0009940358577296,-10.451450477602322,0.911563785285026,0.5454512743827565,0.6401457922451048,1.0,0.6431552452030477,False,False,0.06367931842342842
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disappointment,True,3,3,3,0.0005912013972798,0.0006752339735006,9.235630145479774e-05,0.000216131792468,8.403257622073095e-05,0.3759849499151429,-0.000128784799017,0.0003168681287206,-0.5796141657366215,1.5931998696585168,0.6512250361342672,0.5817303471286333,1.0,0.6980764165543599,False,False,0.0694392143249972
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disapproval,True,3,3,3,0.0012494617452224,0.0011466322466731,0.0003222051971956,0.0005384823749828,-0.0001028294985493,-0.4692983025870143,-0.000230168341659,0.0001501789083704,-238.24623193455275,0.1095592413412879,-0.8128485039865414,0.5016782946138832,1.0,0.8714296411431284,False,False,0.08011215644331558
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disgust,True,3,3,3,0.0002435112352638,0.0003426670543073,0.0001318577681024,8.975895431837781e-05,9.915581904351713e-05,2.0829251076149182,4.654133226722479e-05,0.000139244904858,0.0,8.172541162137236,3.6077321147499095,0.0689756440401187,0.4138538642407123,0.0953473603806384,False,False,0.49631800947030735
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.embarrassment,True,3,3,3,0.0001650156045798,0.0002147346870818,5.303136318521461e-05,7.807613153544625e-05,4.971908250202736e-05,0.7096776034042935,-2.9621049179695547e-05,0.0001030667772283,0.0,5.948521145603902,1.229197666089952,0.3439894357487301,1.0,0.4127873228984761,False,False,0.11745983713227966
