profile,phase,model_name,emotion,layer,head,head_spec,alpha,comparison,metric_name,paired,n_baseline,n_patched,n_effective,mean_baseline,mean_patched,std_baseline,std_patched,mean_diff,cohen_d,ci_lower,ci_upper,effect_size_ci_lower,effect_size_ci_upper,t_statistic,p_value,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.admiration,True,3,3,3,0.23073641580413096,0.0007849769899621606,0.39877603654119465,6.34592131357692e-05,-0.2299514388141688,-0.5766181519258801,-0.6904381915810518,0.0004809797101188451,-1.1544424507531073,1.6260772089556463,-0.9987319357020942,0.4231381185306159,1.0,0.42319070448273655,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.amusement,True,3,3,3,0.0004251103625089551,0.000949433830101043,0.0002718796966723955,0.00047502472352829446,0.0005243234675920879,0.7313786079448625,2.4309265427291393e-05,0.0013456722517730668,0.0,1.4623860036532685,1.2667849085295002,0.3327852066798257,1.0,0.3327852066798257,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.anger,True,3,3,3,0.0005329236737452447,0.0008502743827799956,0.0003175116165655498,0.00030990941933611735,0.0003173507090347509,1.5522629024517363,0.0001390775723848492,0.0005405071715358645,0.0,2.960606252777816,2.688598213750739,0.11496809452975722,0.6898085671785433,0.20852088353577747,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.annoyance,True,3,3,3,0.001965758390724659,0.0026611563904831805,0.0016851177145698038,0.0010865071177900802,0.0006953979997585217,1.155724302884017,1.4451565220952034e-05,0.0011553512886166573,0.0,7.796963144983894,2.00177321213724,0.18326232925817879,1.0,0.2748934938872682,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.approval,True,3,3,3,0.0108517986179019,0.0027802000598361096,0.012329626145044445,0.0006132410725810701,-0.008071598558065793,-0.6479148326881148,-0.02202974329702556,0.001919885748066008,-1.5513554156121139,0.0,-1.1222214091933032,0.3784000195082676,1.0,0.4056682063733305,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.caring,True,3,3,3,0.0009263774263672531,0.0008769761770963669,0.0006112853188549203,0.00022151311267711772,-4.940124927088618e-05,-0.06761917554398869,-0.0008135444950312376,0.0006422049482353032,-1.1068060443898435,1.219430592140048,-0.11711984760810727,0.9174663077849787,1.0,0.9174663077849786,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.confusion,True,3,3,3,0.37455140116314095,0.09477673843502998,0.516691584508088,0.08026387410004142,-0.27977466272811097,-0.4936330897827503,-0.934150192886591,0.05570058338344097,-1.0850722141028313,5.243250710480613,-0.8549975918009327,0.4826286434005912,1.0,0.5232085336015143,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.curiosity,True,3,3,3,0.2049286694576343,0.6843686699867249,0.18529245583308526,0.04638461182152399,0.4794400005290906,2.0909747476670084,0.2715425193309784,0.7253675069659948,0.0,3.923479509256065,3.6216745003027717,0.06849880806128829,0.41099284836772976,0.18891360255881562,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.desire,True,3,3,3,0.0005857345143643519,0.0007987830128210286,0.0003208392493208361,0.0004903223718192921,0.0002130484984566768,0.3149164400947089,-0.00019256625091657043,0.0009940358577296138,-10.451450477602322,0.9115637852850261,0.5454512743827565,0.6401457922451048,1.0,0.6431552452030477,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disappointment,True,3,3,3,0.0005912013972798983,0.0006752339735006293,9.235630145479774e-05,0.00021613179246803707,8.403257622073095e-05,0.3759849499151429,-0.00012878479901701212,0.00031686812872067094,-0.5796141657366215,1.5931998696585168,0.6512250361342672,0.5817303471286333,1.0,0.6980764165543599,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disapproval,True,3,3,3,0.0012494617452224095,0.0011466322466731071,0.00032220519719563905,0.0005384823749828017,-0.00010282949854930241,-0.4692983025870143,-0.00023016834165900946,0.00015017890837043524,-238.24623193455275,0.1095592413412879,-0.8128485039865414,0.5016782946138832,1.0,0.8714296411431284,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.disgust,True,3,3,3,0.0002435112352638195,0.0003426670543073366,0.0001318577681024093,8.975895431837781e-05,9.915581904351711e-05,2.0829251076149182,4.654133226722479e-05,0.00013924490485806018,0.0,8.172541162137236,3.6077321147499095,0.06897564404011873,0.41385386424071235,0.09534736038063844,False,False
baseline_smoke,residual,gpt2_small,gratitude,0,,,0.8,patched_vs_neutral,goemotions.embarrassment,True,3,3,3,0.00016501560457982123,0.0002147346870818486,5.303136318521461e-05,7.807613153544625e-05,4.9719082502027355e-05,0.7096776034042935,-2.9621049179695547e-05,0.00010306677722837776,0.0,5.948521145603902,1.229197666089952,0.3439894357487301,1.0,0.4127873228984761,False,False
