layer,mean_overlap_before,mean_overlap_after,delta
0,0.0005092903928709467,1.0751493906590883e-05,-0.0004985388989643558
1,0.000298898333474058,0.00043212793091385737,0.00013322959743979935
2,0.0002474267623757942,0.0002613101418718551,1.3883379496060894e-05
3,0.0002346913082958234,0.00039274220349520193,0.00015805089519937854
4,0.0002603401001267142,0.00048070954415773483,0.00022036944403102066
5,0.000259266075075473,0.0005537238999338002,0.00029445782485832723
6,0.000280743957161672,0.00032478262769815953,4.403867053648754e-05
