emotion,model1,model2,avg_similarity,std_similarity,min_similarity,max_similarity
gratitude,gpt2,pythia-160m,-0.05381501,0.036768876,-0.11395298,0.026585031
gratitude,gpt2,gpt-neo-125m,-0.04610483,0.043771464,-0.13181621,0.027770353
gratitude,pythia-160m,gpt-neo-125m,-0.0021564958,0.011377729,-0.023710515,0.018216524
anger,gpt2,pythia-160m,0.0028780375,0.024534566,-0.040540345,0.041055907
anger,gpt2,gpt-neo-125m,-0.012869865,0.022916995,-0.049400218,0.025172086
anger,pythia-160m,gpt-neo-125m,-0.011756637,0.024503576,-0.05095524,0.03170829
apology,gpt2,pythia-160m,0.02872994,0.028496819,-0.017024001,0.06670382
apology,gpt2,gpt-neo-125m,-0.006123043,0.0441511,-0.10558259,0.04434168
apology,pythia-160m,gpt-neo-125m,-0.0034232568,0.025319112,-0.037934963,0.04002473
